county,total_accidents,total_fatalities,fatality_rate,avg_victims,night_rate,risk_level,latitude,longitude
BARINGO,16,1,6.25,1.5,25.0,Low Risk,0.65,35.9833
BOMET,14,1,7.14,1.1428571428571428,35.71,Low Risk,-0.7833,35.35
BUNGOMA,23,0,0.0,1.0869565217391304,26.09,Low Risk,0.5635,34.5606
BUSIA,11,1,9.09,1.0,18.18,Low Risk,0.4608,34.1117
ELGEYO MARAKWET,3,0,0.0,1.0,0.0,Low Risk,0.5,35.4833
EMBU,29,0,0.0,1.103448275862069,13.79,Low Risk,-0.5333,37.45
GARISSA,12,0,0.0,1.25,25.0,Low Risk,-0.4532,39.6461
HOMA BAY,25,1,4.0,1.0,20.0,Low Risk,-0.5267,34.4571
ISIOLO,2,1,50.0,1.5,50.0,Medium Risk,0.35,37.5833
KAJIADO,31,3,9.68,1.064516129032258,41.94,High Risk,-1.85,36.7833
KAKAMEGA,40,3,7.5,1.1,7.5,High Risk,0.2827,34.7519
KERICHO,26,0,0.0,2.0384615384615383,15.38,Low Risk,-0.3667,35.2833
KIAMBU,99,5,5.05,1.0808080808080809,33.33,High Risk,-1.0313,36.8318
KILIFI,32,0,0.0,1.0625,12.5,Low Risk,-3.5107,39.9093
KIRINYAGA,19,0,0.0,1.368421052631579,15.79,Low Risk,-0.5594,37.3479
KISII,24,1,4.17,1.2083333333333333,20.83,Low Risk,-0.6817,34.7667
KISUMU,30,1,3.33,1.2333333333333334,16.67,Low Risk,-0.1022,34.7617
KITUI,15,1,6.67,1.0,20.0,Low Risk,-1.3667,38.0167
KWALE,10,0,0.0,1.0,50.0,Low Risk,-4.1833,39.45
LAIKIPIA,6,1,16.67,1.1666666666666667,0.0,Low Risk,0.35,36.7833
MACHAKOS,50,4,8.0,1.16,26.0,High Risk,-1.5177,37.2634
MAKUENI,60,1,1.67,1.4333333333333333,28.33,Low Risk,-2.2558,37.8938
MANDERA,1,0,0.0,1.0,0.0,Low Risk,3.9366,41.867
MARSABIT,6,1,16.67,1.0,0.0,Low Risk,2.3333,37.9833
MERU,26,1,3.85,1.1153846153846154,11.54,Low Risk,0.0467,37.649
MIGORI,13,0,0.0,1.0769230769230769,15.38,Low Risk,-1.0634,34.4734
MOMBASA,27,0,0.0,1.1481481481481481,18.52,Low Risk,-4.0435,39.6682
MURANG'A,22,0,0.0,1.3181818181818181,31.82,Low Risk,-0.7833,37.0333
NAIROBI,183,4,2.19,1.0655737704918034,34.43,High Risk,-1.2921,36.8219
NAKURU,76,0,0.0,1.263157894736842,35.53,Low Risk,-0.3031,36.08
NANDI,8,0,0.0,1.125,25.0,Low Risk,0.1833,35.1167
NAROK,21,1,4.76,1.2380952380952381,42.86,Low Risk,-1.0833,35.8667
NYAMIRA,15,1,6.67,1.1333333333333333,13.33,Low Risk,-0.5667,34.9333
NYANDARUA,16,1,6.25,1.0625,25.0,Low Risk,-0.1833,36.5167
NYERI,38,2,5.26,1.1578947368421053,42.11,High Risk,-0.4167,36.95
SIAYA,14,0,0.0,1.2142857142857142,0.0,Low Risk,-0.0617,34.2422
TAITA TAVETA,13,1,7.69,1.2307692307692308,7.69,Low Risk,-3.3167,38.4833
THARAKA NITHI,2,0,0.0,1.0,0.0,Low Risk,0.3,37.9833
TRANS NZOIA,7,0,0.0,1.0,0.0,Low Risk,1.0167,35.0
UASIN GISHU,17,2,11.76,1.0,29.41,High Risk,0.5143,35.2698
VIHIGA,10,0,0.0,1.6,10.0,Low Risk,0.0833,34.7167
WEST POKOT,3,0,0.0,1.3333333333333333,0.0,Low Risk,1.6167,35.0833
